type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
DEL	0	4525	1063	4336	1	0.8031	0.8908	10	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	9890	3321	9327	1	0.7374	0.8489	12	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	5418	2210	5039	1	0.6951	0.8201	12	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	4472	1111	4288	1	0.7942	0.8853	12	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	9585	3576	9072	1	0.7173	0.8354	14	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	5204	2386	4863	1	0.6709	0.803	14	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	4381	1190	4209	1	0.7796	0.8762	14	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	8834	4177	8471	1	0.6698	0.8023	21	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	4710	2780	4469	1	0.6165	0.7628	21	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	4124	1397	4002	1	0.7412	0.8514	21	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	8198	4720	7928	1	0.6268	0.7706	27	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	4279	3146	4103	1	0.566	0.7229	27	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	3919	1574	3825	1	0.7085	0.8294	27	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	7807	5064	7584	1	0.5996	0.7497	35	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	4034	3361	3888	1	0.5363	0.6982	35	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	3773	1703	3696	1	0.6846	0.8128	35	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	7226	5599	7049	1	0.5573	0.7157	45	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	3667	3699	3550	1	0.4897	0.6574	45	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	3559	1900	3499	1	0.6481	0.7865	45	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	6928	5873	6775	1	0.5357	0.6977	50	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	3479	3869	3380	1	0.4663	0.636	50	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	3449	2004	3395	1	0.6288	0.7721	50	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	6452	6320	6328	1	0.5003	0.6669	60	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	3193	4136	3113	1	0.4294	0.6008	60	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	3259	2184	3215	1	0.5955	0.7465	60	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	5756	6976	5672	1	0.4485	0.6193	75	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	2796	4508	2741	1	0.3781	0.5487	75	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	2960	2468	2931	1	0.5429	0.7037	75	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	5134	7590	5058	1	0.3999	0.5713	90	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	2512	4787	2462	1	0.3396	0.507	90	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	2622	2803	2596	1	0.4808	0.6494	90	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	4742	7977	4671	1	0.3693	0.5394	99	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	2336	4959	2290	1	0.3159	0.4801	99	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	2406	3018	2381	1	0.441	0.6121	99	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	4283	8426	4222	1	0.3338	0.5005	110	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	2108	5180	2069	1	0.2854	0.4441	110	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	2175	3246	2153	1	0.3988	0.5702	110	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	3615	9076	3572	1	0.2824	0.4404	133	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	1778	5501	1748	1	0.2411	0.3885	133	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	1837	3575	1824	1	0.3378	0.505	133	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	3106	9566	3082	1	0.2437	0.3919	167	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	1491	5776	1473	1	0.2032	0.3378	167	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	1615	3790	1609	1	0.298	0.4592	167	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	2937	9730	2918	1	0.2307	0.3749	180	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	1391	5873	1376	1	0.1898	0.319	180	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	1546	3857	1542	1	0.2856	0.4443	180	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	1943	10713	1935	1	0.153	0.2654	250	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	837	6419	830	1	0.1145	0.2055	250	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	1106	4294	1105	1	0.2047	0.3398	250	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	0	12648	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	0	7249	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	0	5399	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	0	12648	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	0	7249	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	0	5399	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	0	12648	0	NA	0	NA	550	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	0	7249	0	NA	0	NA	550	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	0	5399	0	NA	0	NA	550	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	0	0	12648	0	NA	0	NA	650	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
INS	0	0	7249	0	NA	0	NA	650	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
DEL	0	0	5399	0	NA	0	NA	650	giab6_hg38	hsvlr_graph	HG002	all	call	0.5
Total	2895	9208	3438	9208	0.7608	0.7281	0.7441	0	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1938	4982	2266	4982	0.7199	0.6874	0.7033	0	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	957	4226	1172	4226	0.8154	0.7829	0.7988	0	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	2299	8727	3919	8727	0.7915	0.6901	0.7373	2	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1576	4711	2537	4711	0.7493	0.65	0.6961	2	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	723	4016	1382	4016	0.8474	0.744	0.7923	2	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	2203	8646	4000	8646	0.7969	0.6837	0.736	3	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1506	4662	2586	4662	0.7558	0.6432	0.695	3	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	697	3984	1414	3984	0.8511	0.7381	0.7906	3	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	2072	8483	4163	8483	0.8037	0.6708	0.7313	4	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1402	4526	2722	4526	0.7635	0.6244	0.687	4	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	670	3957	1441	3957	0.8552	0.733	0.7894	4	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	2016	8425	4221	8425	0.8069	0.6662	0.7298	5	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1362	4484	2764	4484	0.767	0.6187	0.6849	5	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	654	3941	1457	3941	0.8577	0.7301	0.7888	5	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	1926	8333	4313	8333	0.8123	0.6589	0.7276	7	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1294	4418	2830	4418	0.7735	0.6095	0.6818	7	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	632	3915	1483	3915	0.861	0.7253	0.7873	7	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	1733	8060	4586	8060	0.823	0.6374	0.7184	10	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1154	4208	3040	4208	0.7848	0.5806	0.6674	10	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	579	3852	1546	3852	0.8693	0.7136	0.7838	10	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	1669	7977	4669	7977	0.827	0.6308	0.7157	12	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1120	4149	3099	4149	0.7874	0.5724	0.6629	12	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	549	3828	1570	3828	0.8746	0.7092	0.7833	12	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	1570	7776	4870	7776	0.832	0.6149	0.7072	14	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	1055	4001	3247	4001	0.7913	0.552	0.6503	14	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	515	3775	1623	3775	0.88	0.6993	0.7793	14	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	1289	7358	5288	7358	0.8509	0.5818	0.6911	21	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	867	3721	3527	3721	0.811	0.5134	0.6288	21	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	422	3637	1761	3637	0.896	0.6738	0.7692	21	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	999	7041	5605	7041	0.8757	0.5568	0.6808	27	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	669	3506	3742	3506	0.8398	0.4837	0.6138	27	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	330	3535	1863	3535	0.9146	0.6549	0.7633	27	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	883	6767	5879	6767	0.8846	0.5351	0.6668	35	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	602	3331	3917	3331	0.8469	0.4596	0.5958	35	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	281	3436	1962	3436	0.9244	0.6365	0.7539	35	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	718	6369	6277	6369	0.8987	0.5036	0.6455	45	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	495	3079	4169	3079	0.8615	0.4248	0.569	45	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	223	3290	2108	3290	0.9365	0.6095	0.7384	45	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	646	6162	6484	6162	0.9051	0.4873	0.6335	50	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	452	2952	4296	2952	0.8672	0.4073	0.5543	50	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	194	3210	2188	3210	0.943	0.5947	0.7294	50	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	533	5805	6841	5805	0.9159	0.459	0.6115	60	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	375	2742	4506	2742	0.8797	0.3783	0.5291	60	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	158	3063	2335	3063	0.9509	0.5674	0.7107	60	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	419	5243	7403	5243	0.926	0.4146	0.5728	75	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	299	2437	4811	2437	0.8907	0.3362	0.4881	75	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	120	2806	2592	2806	0.959	0.5198	0.6742	75	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	358	4688	7958	4688	0.9291	0.3707	0.53	90	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	256	2201	5047	2201	0.8958	0.3037	0.4536	90	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	102	2487	2911	2487	0.9606	0.4607	0.6227	90	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	321	4339	8307	4339	0.9311	0.3431	0.5014	99	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	234	2052	5196	2052	0.8976	0.2831	0.4304	99	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	87	2287	3111	2287	0.9634	0.4237	0.5886	99	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	279	3933	8713	3933	0.9338	0.311	0.4666	110	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	211	1855	5393	1855	0.8979	0.2559	0.3983	110	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	68	2078	3320	2078	0.9683	0.385	0.5509	110	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	205	3343	9303	3343	0.9422	0.2644	0.4129	133	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	159	1577	5671	1577	0.9084	0.2176	0.3511	133	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	46	1766	3632	1766	0.9746	0.3272	0.4899	133	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	149	2897	9749	2897	0.9511	0.2291	0.3693	167	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	119	1331	5917	1331	0.9179	0.1836	0.306	167	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	30	1566	3832	1566	0.9812	0.2901	0.4478	167	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	130	2753	9893	2753	0.9549	0.2177	0.3546	180	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	107	1245	6003	1245	0.9209	0.1718	0.2896	180	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	23	1508	3890	1508	0.985	0.2794	0.4353	180	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	65	1849	10797	1849	0.966	0.1462	0.254	250	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	55	761	6487	761	0.9326	0.105	0.1887	250	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	10	1088	4310	1088	0.9909	0.2016	0.335	250	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	0	0	12646	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	0	0	7248	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	0	0	5398	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	0	0	12646	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	0	0	7248	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	0	0	5398	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	0	0	12646	0	NA	0	NA	550	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	0	0	7248	0	NA	0	NA	550	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	0	0	5398	0	NA	0	NA	550	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	0	0	12646	0	NA	0	NA	650	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
INS	0	0	7248	0	NA	0	NA	650	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
DEL	0	0	5398	0	NA	0	NA	650	giab6_hg38	hsvlr_graph	HG002	all	geno	0.5
Total	0	5584	395	5470	1	0.9327	0.9652	0	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	3355	343	3249	1	0.9045	0.9499	0	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2229	52	2221	1	0.9771	0.9884	0	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	5450	509	5356	1	0.9132	0.9546	2	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	3241	437	3155	1	0.8783	0.9352	2	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2209	72	2201	1	0.9683	0.9839	2	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	5410	546	5319	1	0.9069	0.9512	3	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	3201	474	3118	1	0.868	0.9293	3	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2209	72	2201	1	0.9683	0.9839	3	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	5342	607	5258	1	0.8965	0.9454	4	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	3134	534	3058	1	0.8513	0.9197	4	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2208	73	2200	1	0.9679	0.9837	4	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	5310	636	5229	1	0.8916	0.9427	5	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	3107	558	3034	1	0.8447	0.9158	5	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2203	78	2195	1	0.9657	0.9826	5	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	5269	674	5191	1	0.8851	0.939	7	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	3070	592	3000	1	0.8352	0.9102	7	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2199	82	2191	1	0.9639	0.9816	7	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	5150	783	5082	1	0.8665	0.9285	10	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2958	695	2897	1	0.8065	0.8929	10	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2192	88	2185	1	0.9613	0.9803	10	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	5120	812	5053	1	0.8616	0.9257	12	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2931	721	2871	1	0.7993	0.8885	12	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2189	91	2182	1	0.96	0.9796	12	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	5037	887	4978	1	0.8488	0.9182	14	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2856	788	2804	1	0.7806	0.8768	14	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2181	99	2174	1	0.9564	0.9777	14	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	4834	1081	4784	1	0.8157	0.8985	21	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2675	960	2632	1	0.7327	0.8457	21	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2159	121	2152	1	0.9468	0.9727	21	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	4685	1225	4640	1	0.7911	0.8834	27	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2548	1083	2509	1	0.6985	0.8225	27	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2137	142	2131	1	0.9375	0.9677	27	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	4577	1328	4537	1	0.7736	0.8724	35	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2462	1164	2428	1	0.6759	0.8066	35	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2115	164	2109	1	0.9278	0.9625	35	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	4377	1524	4341	1	0.7402	0.8507	45	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2310	1312	2280	1	0.6347	0.7765	45	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2067	212	2061	1	0.9067	0.9511	45	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	4261	1638	4227	1	0.7207	0.8377	50	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2225	1395	2197	1	0.6116	0.759	50	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	2036	243	2030	1	0.8931	0.9435	50	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	4057	1838	4027	1	0.6866	0.8142	60	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	2083	1534	2058	1	0.5729	0.7285	60	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	1974	304	1969	1	0.8663	0.9284	60	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	3745	2146	3719	1	0.6341	0.7761	75	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	1905	1709	1883	1	0.5242	0.6878	75	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	1840	437	1836	1	0.8077	0.8936	75	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	3354	2530	3335	1	0.5686	0.725	90	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	1725	1882	1710	1	0.4761	0.6451	90	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	1629	648	1625	1	0.7149	0.8338	90	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	3114	2769	3096	1	0.5279	0.691	99	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	1617	1989	1603	1	0.4463	0.6172	99	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	1497	780	1493	1	0.6568	0.7929	99	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	2803	3076	2789	1	0.4755	0.6445	110	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	1449	2155	1437	1	0.4001	0.5715	110	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	1354	921	1352	1	0.5948	0.7459	110	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	2412	3466	2399	1	0.409	0.5806	133	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	1243	2360	1232	1	0.343	0.5108	133	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	1169	1106	1167	1	0.5134	0.6785	133	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	2149	3725	2140	1	0.3649	0.5347	167	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	1068	2532	1060	1	0.2951	0.4557	167	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	1081	1193	1080	1	0.4751	0.6442	167	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	2065	3809	2056	1	0.3506	0.5192	180	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	1017	2583	1009	1	0.2809	0.4386	180	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	1048	1226	1047	1	0.4606	0.6307	180	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	1449	4422	1443	1	0.246	0.3949	250	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	649	2948	644	1	0.1793	0.3041	250	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	800	1474	799	1	0.3515	0.5202	250	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	0	5865	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	0	3592	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	0	2273	0	NA	0	NA	350	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	0	5865	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	0	3592	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
DEL	0	0	2273	0	NA	0	NA	450	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
Total	0	0	5865	0	NA	0	NA	550	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
INS	0	0	3592	0	NA	0	NA	550	giab6_hg38	hsvlr_graph	HG002	highconf	call	0.5
