type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
DEL	434	5384	2491	5499	0.9254	0.6882	0.7894	27	giab5	vg	HG002	all	call	0.5
Total	893	12243	6603	12441	0.932	0.6533	0.7682	35	giab5	vg	HG002	all	call	0.5
INS	488	7026	3934	7120	0.9351	0.6441	0.7628	35	giab5	vg	HG002	all	call	0.5
DEL	405	5217	2669	5321	0.928	0.666	0.7755	35	giab5	vg	HG002	all	call	0.5
Total	796	11414	7425	11619	0.9348	0.6101	0.7383	45	giab5	vg	HG002	all	call	0.5
INS	438	6476	4474	6580	0.9367	0.5953	0.728	45	giab5	vg	HG002	all	call	0.5
DEL	358	4938	2951	5039	0.9324	0.6307	0.7524	45	giab5	vg	HG002	all	call	0.5
Total	743	10988	7848	11196	0.9367	0.5879	0.7224	50	giab5	vg	HG002	all	call	0.5
INS	408	6218	4728	6326	0.9384	0.5723	0.711	50	giab5	vg	HG002	all	call	0.5
DEL	335	4770	3120	4870	0.9344	0.6095	0.7378	50	giab5	vg	HG002	all	call	0.5
Total	664	10248	8588	10456	0.9391	0.549	0.6929	60	giab5	vg	HG002	all	call	0.5
INS	368	5741	5192	5862	0.9398	0.5303	0.678	60	giab5	vg	HG002	all	call	0.5
DEL	296	4507	3396	4594	0.9384	0.575	0.7131	60	giab5	vg	HG002	all	call	0.5
Total	566	9051	9814	9230	0.9411	0.4847	0.6399	75	giab5	vg	HG002	all	call	0.5
INS	315	5010	5945	5109	0.9408	0.4622	0.6199	75	giab5	vg	HG002	all	call	0.5
DEL	251	4041	3869	4121	0.9415	0.5158	0.6665	75	giab5	vg	HG002	all	call	0.5
Total	489	7989	10894	8150	0.9423	0.428	0.5886	90	giab5	vg	HG002	all	call	0.5
INS	274	4388	6570	4484	0.9412	0.4056	0.5669	90	giab5	vg	HG002	all	call	0.5
DEL	215	3601	4324	3666	0.9437	0.4588	0.6174	90	giab5	vg	HG002	all	call	0.5
Total	456	7411	11483	7561	0.942	0.397	0.5586	99	giab5	vg	HG002	all	call	0.5
INS	254	4043	6918	4136	0.9409	0.3742	0.5354	99	giab5	vg	HG002	all	call	0.5
DEL	202	3368	4565	3425	0.9434	0.4287	0.5895	99	giab5	vg	HG002	all	call	0.5
Total	422	6810	12095	6949	0.9416	0.3649	0.526	110	giab5	vg	HG002	all	call	0.5
INS	238	3663	7299	3755	0.939	0.3397	0.4989	110	giab5	vg	HG002	all	call	0.5
DEL	184	3147	4796	3194	0.9448	0.3997	0.5618	110	giab5	vg	HG002	all	call	0.5
Total	361	6016	12915	6129	0.9434	0.3218	0.4799	133	giab5	vg	HG002	all	call	0.5
INS	200	3221	7752	3302	0.9415	0.2987	0.4535	133	giab5	vg	HG002	all	call	0.5
DEL	161	2795	5163	2827	0.9455	0.3538	0.5149	133	giab5	vg	HG002	all	call	0.5
Total	281	5230	13716	5328	0.949	0.2798	0.4322	167	giab5	vg	HG002	all	call	0.5
INS	148	2735	8248	2806	0.9487	0.2538	0.4005	167	giab5	vg	HG002	all	call	0.5
DEL	133	2495	5468	2522	0.9494	0.3156	0.4737	167	giab5	vg	HG002	all	call	0.5
Total	255	4998	13949	5095	0.9515	0.2675	0.4176	180	giab5	vg	HG002	all	call	0.5
INS	133	2590	8397	2657	0.9512	0.2404	0.3838	180	giab5	vg	HG002	all	call	0.5
DEL	122	2408	5552	2438	0.9518	0.3051	0.4621	180	giab5	vg	HG002	all	call	0.5
Total	149	3585	15384	3660	0.9601	0.1922	0.3203	250	giab5	vg	HG002	all	call	0.5
INS	74	1771	9226	1828	0.9599	0.1654	0.2822	250	giab5	vg	HG002	all	call	0.5
DEL	75	1814	6158	1832	0.9603	0.2293	0.3702	250	giab5	vg	HG002	all	call	0.5
Total	0	0	19044	0	NA	0	NA	350	giab5	vg	HG002	all	call	0.5
INS	0	0	11054	0	NA	0	NA	350	giab5	vg	HG002	all	call	0.5
DEL	0	0	7990	0	NA	0	NA	350	giab5	vg	HG002	all	call	0.5
Total	0	0	19044	0	NA	0	NA	450	giab5	vg	HG002	all	call	0.5
INS	0	0	11054	0	NA	0	NA	450	giab5	vg	HG002	all	call	0.5
DEL	0	0	7990	0	NA	0	NA	450	giab5	vg	HG002	all	call	0.5
Total	0	0	19044	0	NA	0	NA	550	giab5	vg	HG002	all	call	0.5
INS	0	0	11054	0	NA	0	NA	550	giab5	vg	HG002	all	call	0.5
DEL	0	0	7990	0	NA	0	NA	550	giab5	vg	HG002	all	call	0.5
Total	0	0	19044	0	NA	0	NA	650	giab5	vg	HG002	all	call	0.5
INS	0	0	11054	0	NA	0	NA	650	giab5	vg	HG002	all	call	0.5
DEL	0	0	7990	0	NA	0	NA	650	giab5	vg	HG002	all	call	0.5
Total	5446	12350	6720	12250	0.694	0.6458	0.669	0	giab5	vg	HG002	all	geno	0.5
INS	3770	6727	4325	6661	0.6408	0.6063	0.6231	0	giab5	vg	HG002	all	geno	0.5
DEL	1676	5623	2395	5589	0.7704	0.7	0.7335	0	giab5	vg	HG002	all	geno	0.5
Total	5141	12043	7022	11948	0.7008	0.6298	0.6634	2	giab5	vg	HG002	all	geno	0.5
INS	3614	6618	4432	6554	0.6468	0.5966	0.6207	2	giab5	vg	HG002	all	geno	0.5
DEL	1527	5425	2590	5394	0.7804	0.6756	0.7242	2	giab5	vg	HG002	all	geno	0.5
Total	5025	11945	7120	11850	0.7039	0.6247	0.6619	3	giab5	vg	HG002	all	geno	0.5
INS	3542	6550	4500	6486	0.649	0.5904	0.6183	3	giab5	vg	HG002	all	geno	0.5
DEL	1483	5395	2620	5364	0.7844	0.6718	0.7237	3	giab5	vg	HG002	all	geno	0.5
Total	4932	11821	7242	11728	0.7056	0.6182	0.659	4	giab5	vg	HG002	all	geno	0.5
INS	3476	6441	4607	6379	0.6495	0.5806	0.6131	4	giab5	vg	HG002	all	geno	0.5
DEL	1456	5380	2635	5349	0.787	0.67	0.7238	4	giab5	vg	HG002	all	geno	0.5
Total	4877	11767	7296	11674	0.707	0.6154	0.658	5	giab5	vg	HG002	all	geno	0.5
INS	3440	6405	4643	6343	0.6506	0.5774	0.6118	5	giab5	vg	HG002	all	geno	0.5
DEL	1437	5362	2653	5331	0.7886	0.6677	0.7231	5	giab5	vg	HG002	all	geno	0.5
Total	4795	11673	7389	11581	0.7088	0.6105	0.656	7	giab5	vg	HG002	all	geno	0.5
INS	3384	6346	4701	6285	0.6522	0.5721	0.6095	7	giab5	vg	HG002	all	geno	0.5
DEL	1411	5327	2688	5296	0.7906	0.6633	0.7214	7	giab5	vg	HG002	all	geno	0.5
Total	4532	11463	7597	11373	0.7167	0.5995	0.6529	10	giab5	vg	HG002	all	geno	0.5
INS	3204	6196	4849	6137	0.6591	0.5586	0.6047	10	giab5	vg	HG002	all	geno	0.5
DEL	1328	5267	2748	5236	0.7986	0.6558	0.7202	10	giab5	vg	HG002	all	geno	0.5
Total	4442	11382	7677	11293	0.7193	0.5953	0.6515	12	giab5	vg	HG002	all	geno	0.5
INS	3141	6140	4904	6082	0.6616	0.5536	0.6028	12	giab5	vg	HG002	all	geno	0.5
DEL	1301	5242	2773	5211	0.8012	0.6527	0.7194	12	giab5	vg	HG002	all	geno	0.5
Total	4269	11198	7861	11109	0.724	0.5856	0.6475	14	giab5	vg	HG002	all	geno	0.5
INS	3023	6005	5039	5947	0.6652	0.5413	0.5969	14	giab5	vg	HG002	all	geno	0.5
DEL	1246	5193	2822	5162	0.8065	0.6465	0.7177	14	giab5	vg	HG002	all	geno	0.5
Total	3850	10739	8318	10652	0.7361	0.5615	0.6371	21	giab5	vg	HG002	all	geno	0.5
INS	2729	5729	5315	5671	0.6773	0.5162	0.5859	21	giab5	vg	HG002	all	geno	0.5
DEL	1121	5010	3003	4981	0.8172	0.6239	0.7076	21	giab5	vg	HG002	all	geno	0.5
Total	3442	10306	8744	10226	0.7496	0.5391	0.6272	27	giab5	vg	HG002	all	geno	0.5
INS	2440	5467	5573	5413	0.6914	0.4927	0.5754	27	giab5	vg	HG002	all	geno	0.5
DEL	1002	4839	3171	4813	0.8285	0.6028	0.6979	27	giab5	vg	HG002	all	geno	0.5
Total	3170	9940	9107	9863	0.7582	0.5199	0.6168	35	giab5	vg	HG002	all	geno	0.5
INS	2243	5223	5814	5172	0.6996	0.4708	0.5628	35	giab5	vg	HG002	all	geno	0.5
DEL	927	4717	3293	4691	0.8358	0.5876	0.6901	35	giab5	vg	HG002	all	geno	0.5
Total	2783	9401	9641	9329	0.7716	0.4918	0.6007	45	giab5	vg	HG002	all	geno	0.5
INS	1987	4883	6152	4834	0.7108	0.44	0.5435	45	giab5	vg	HG002	all	geno	0.5
DEL	796	4518	3489	4495	0.8502	0.563	0.6774	45	giab5	vg	HG002	all	geno	0.5
Total	2605	9104	9935	9035	0.7775	0.4763	0.5907	50	giab5	vg	HG002	all	geno	0.5
INS	1873	4711	6322	4664	0.7155	0.4245	0.5329	50	giab5	vg	HG002	all	geno	0.5
DEL	732	4393	3613	4371	0.8572	0.5475	0.6682	50	giab5	vg	HG002	all	geno	0.5
Total	2312	8571	10464	8506	0.7876	0.4484	0.5715	60	giab5	vg	HG002	all	geno	0.5
INS	1676	4390	6639	4347	0.7237	0.3957	0.5116	60	giab5	vg	HG002	all	geno	0.5
DEL	636	4181	3825	4159	0.868	0.5209	0.6511	60	giab5	vg	HG002	all	geno	0.5
Total	1929	7664	11362	7608	0.7989	0.4011	0.5341	75	giab5	vg	HG002	all	geno	0.5
INS	1417	3868	7158	3828	0.7319	0.3484	0.4721	75	giab5	vg	HG002	all	geno	0.5
DEL	512	3796	4204	3780	0.8812	0.4734	0.6159	75	giab5	vg	HG002	all	geno	0.5
Total	1708	6749	12267	6703	0.798	0.3533	0.4898	90	giab5	vg	HG002	all	geno	0.5
INS	1267	3361	7657	3329	0.7262	0.303	0.4276	90	giab5	vg	HG002	all	geno	0.5
DEL	441	3388	4610	3374	0.8848	0.4226	0.572	90	giab5	vg	HG002	all	geno	0.5
Total	1582	6267	12745	6225	0.7984	0.3281	0.4651	99	giab5	vg	HG002	all	geno	0.5
INS	1176	3092	7923	3063	0.7245	0.2788	0.4027	99	giab5	vg	HG002	all	geno	0.5
DEL	406	3175	4822	3162	0.8866	0.396	0.5475	99	giab5	vg	HG002	all	geno	0.5
Total	1434	5774	13232	5738	0.8011	0.3025	0.4392	110	giab5	vg	HG002	all	geno	0.5
INS	1065	2802	8210	2776	0.7246	0.2527	0.3747	110	giab5	vg	HG002	all	geno	0.5
DEL	369	2972	5022	2962	0.8896	0.371	0.5236	110	giab5	vg	HG002	all	geno	0.5
Total	1168	5173	13830	5140	0.8158	0.271	0.4068	133	giab5	vg	HG002	all	geno	0.5
INS	871	2506	8504	2482	0.7421	0.2259	0.3464	133	giab5	vg	HG002	all	geno	0.5
DEL	297	2667	5326	2658	0.8998	0.3329	0.486	133	giab5	vg	HG002	all	geno	0.5
Total	868	4584	14406	4564	0.8408	0.2406	0.3741	167	giab5	vg	HG002	all	geno	0.5
INS	643	2185	8815	2171	0.7726	0.1976	0.3147	167	giab5	vg	HG002	all	geno	0.5
DEL	225	2399	5591	2393	0.9143	0.2997	0.4514	167	giab5	vg	HG002	all	geno	0.5
Total	789	4399	14587	4383	0.8479	0.231	0.3631	180	giab5	vg	HG002	all	geno	0.5
INS	591	2074	8924	2062	0.7782	0.1877	0.3024	180	giab5	vg	HG002	all	geno	0.5
DEL	198	2325	5663	2321	0.9215	0.2907	0.442	180	giab5	vg	HG002	all	geno	0.5
Total	463	3217	15760	3210	0.8742	0.1692	0.2835	250	giab5	vg	HG002	all	geno	0.5
INS	348	1453	9537	1449	0.8068	0.1319	0.2267	250	giab5	vg	HG002	all	geno	0.5
DEL	115	1764	6223	1761	0.9388	0.2206	0.3573	250	giab5	vg	HG002	all	geno	0.5
Total	0	0	18970	0	NA	0	NA	350	giab5	vg	HG002	all	geno	0.5
INS	0	0	10986	0	NA	0	NA	350	giab5	vg	HG002	all	geno	0.5
DEL	0	0	7984	0	NA	0	NA	350	giab5	vg	HG002	all	geno	0.5
Total	0	0	18970	0	NA	0	NA	450	giab5	vg	HG002	all	geno	0.5
INS	0	0	10986	0	NA	0	NA	450	giab5	vg	HG002	all	geno	0.5
DEL	0	0	7984	0	NA	0	NA	450	giab5	vg	HG002	all	geno	0.5
Total	0	0	18970	0	NA	0	NA	550	giab5	vg	HG002	all	geno	0.5
INS	0	0	10986	0	NA	0	NA	550	giab5	vg	HG002	all	geno	0.5
DEL	0	0	7984	0	NA	0	NA	550	giab5	vg	HG002	all	geno	0.5
Total	0	0	18970	0	NA	0	NA	650	giab5	vg	HG002	all	geno	0.5
INS	0	0	10986	0	NA	0	NA	650	giab5	vg	HG002	all	geno	0.5
DEL	0	0	7984	0	NA	0	NA	650	giab5	vg	HG002	all	geno	0.5
Total	405	8682	626	8652	0.9554	0.9325	0.9438	0	giab5	vg	HG002	highconf	call	0.5
INS	226	4965	342	4930	0.9565	0.9351	0.9457	0	giab5	vg	HG002	highconf	call	0.5
DEL	179	3717	284	3722	0.9541	0.9291	0.9414	0	giab5	vg	HG002	highconf	call	0.5
Total	389	8565	741	8537	0.9566	0.9201	0.938	2	giab5	vg	HG002	highconf	call	0.5
INS	221	4908	396	4876	0.9569	0.9249	0.9406	2	giab5	vg	HG002	highconf	call	0.5
DEL	168	3657	345	3661	0.9561	0.9139	0.9345	2	giab5	vg	HG002	highconf	call	0.5
Total	377	8504	801	8477	0.9575	0.9137	0.9351	3	giab5	vg	HG002	highconf	call	0.5
INS	215	4861	441	4831	0.9576	0.9164	0.9365	3	giab5	vg	HG002	highconf	call	0.5
DEL	162	3643	360	3646	0.9574	0.9101	0.9332	3	giab5	vg	HG002	highconf	call	0.5
Total	370	8444	860	8418	0.958	0.9073	0.932	4	giab5	vg	HG002	highconf	call	0.5
INS	209	4810	491	4781	0.9584	0.9069	0.9319	4	giab5	vg	HG002	highconf	call	0.5
DEL	161	3634	369	3637	0.9576	0.9079	0.9321	4	giab5	vg	HG002	highconf	call	0.5
Total	368	8409	895	8383	0.9581	0.9035	0.93	5	giab5	vg	HG002	highconf	call	0.5
INS	207	4783	517	4755	0.9585	0.9019	0.9293	5	giab5	vg	HG002	highconf	call	0.5
DEL	161	3626	378	3628	0.9575	0.9056	0.9308	5	giab5	vg	HG002	highconf	call	0.5
Total	363	8357	946	8332	0.9584	0.898	0.9272	7	giab5	vg	HG002	highconf	call	0.5
INS	206	4748	551	4721	0.9584	0.8955	0.9259	7	giab5	vg	HG002	highconf	call	0.5
DEL	157	3609	395	3611	0.9583	0.9014	0.929	7	giab5	vg	HG002	highconf	call	0.5
Total	332	8196	1104	8174	0.9611	0.881	0.9193	10	giab5	vg	HG002	highconf	call	0.5
INS	190	4642	655	4617	0.9607	0.8758	0.9163	10	giab5	vg	HG002	highconf	call	0.5
DEL	142	3554	449	3557	0.9616	0.8879	0.9233	10	giab5	vg	HG002	highconf	call	0.5
Total	324	8141	1160	8118	0.9617	0.875	0.9163	12	giab5	vg	HG002	highconf	call	0.5
INS	186	4603	694	4578	0.9612	0.8684	0.9124	12	giab5	vg	HG002	highconf	call	0.5
DEL	138	3538	466	3540	0.9625	0.8837	0.9214	12	giab5	vg	HG002	highconf	call	0.5
Total	314	8024	1274	8004	0.9623	0.8627	0.9098	14	giab5	vg	HG002	highconf	call	0.5
INS	179	4518	776	4496	0.9619	0.8528	0.9041	14	giab5	vg	HG002	highconf	call	0.5
DEL	135	3506	498	3508	0.9629	0.8757	0.9172	14	giab5	vg	HG002	highconf	call	0.5
Total	287	7747	1546	7732	0.9643	0.8334	0.8941	21	giab5	vg	HG002	highconf	call	0.5
INS	162	4321	969	4303	0.9639	0.8162	0.8839	21	giab5	vg	HG002	highconf	call	0.5
DEL	125	3426	577	3429	0.9648	0.856	0.9071	21	giab5	vg	HG002	highconf	call	0.5
Total	265	7539	1753	7525	0.966	0.8111	0.8818	27	giab5	vg	HG002	highconf	call	0.5
INS	142	4180	1109	4163	0.9671	0.7896	0.8694	27	giab5	vg	HG002	highconf	call	0.5
DEL	123	3359	644	3362	0.9647	0.8392	0.8976	27	giab5	vg	HG002	highconf	call	0.5
Total	235	7309	1981	7297	0.9688	0.7865	0.8682	35	giab5	vg	HG002	highconf	call	0.5
INS	121	4030	1257	4015	0.9709	0.7616	0.8536	35	giab5	vg	HG002	highconf	call	0.5
DEL	114	3279	724	3282	0.9664	0.8193	0.8868	35	giab5	vg	HG002	highconf	call	0.5
Total	208	6984	2303	6975	0.9711	0.7518	0.8475	45	giab5	vg	HG002	highconf	call	0.5
INS	106	3813	1472	3800	0.973	0.7208	0.8281	45	giab5	vg	HG002	highconf	call	0.5
DEL	102	3171	831	3175	0.9688	0.7926	0.8719	45	giab5	vg	HG002	highconf	call	0.5
Total	190	6786	2502	6776	0.9728	0.7303	0.8343	50	giab5	vg	HG002	highconf	call	0.5
INS	95	3693	1592	3680	0.9749	0.698	0.8135	50	giab5	vg	HG002	highconf	call	0.5
DEL	95	3093	910	3096	0.9702	0.7728	0.8603	50	giab5	vg	HG002	highconf	call	0.5
Total	168	6412	2874	6404	0.9745	0.6902	0.8081	60	giab5	vg	HG002	highconf	call	0.5
INS	87	3449	1832	3440	0.9754	0.6525	0.7819	60	giab5	vg	HG002	highconf	call	0.5
DEL	81	2963	1042	2964	0.9734	0.7399	0.8407	60	giab5	vg	HG002	highconf	call	0.5
Total	133	5751	3532	5746	0.9774	0.6193	0.7582	75	giab5	vg	HG002	highconf	call	0.5
INS	67	3050	2228	3044	0.9785	0.5774	0.7262	75	giab5	vg	HG002	highconf	call	0.5
DEL	66	2701	1304	2702	0.9761	0.6745	0.7977	75	giab5	vg	HG002	highconf	call	0.5
Total	106	5055	4227	5051	0.9795	0.5444	0.6998	90	giab5	vg	HG002	highconf	call	0.5
INS	53	2656	2621	2651	0.9804	0.5028	0.6647	90	giab5	vg	HG002	highconf	call	0.5
DEL	53	2399	1606	2400	0.9784	0.5991	0.7431	90	giab5	vg	HG002	highconf	call	0.5
Total	99	4670	4609	4669	0.9792	0.5032	0.6648	99	giab5	vg	HG002	highconf	call	0.5
INS	48	2431	2843	2429	0.9806	0.4607	0.6269	99	giab5	vg	HG002	highconf	call	0.5
DEL	51	2239	1766	2240	0.9777	0.5592	0.7115	99	giab5	vg	HG002	highconf	call	0.5
Total	89	4286	4992	4286	0.9797	0.462	0.6279	110	giab5	vg	HG002	highconf	call	0.5
INS	43	2196	3077	2195	0.9808	0.4164	0.5846	110	giab5	vg	HG002	highconf	call	0.5
DEL	46	2090	1915	2091	0.9785	0.522	0.6808	110	giab5	vg	HG002	highconf	call	0.5
Total	78	3863	5414	3864	0.9802	0.4165	0.5846	133	giab5	vg	HG002	highconf	call	0.5
INS	39	1957	3315	1957	0.9805	0.3712	0.5385	133	giab5	vg	HG002	highconf	call	0.5
DEL	39	1906	2099	1907	0.9799	0.476	0.6407	133	giab5	vg	HG002	highconf	call	0.5
Total	57	3510	5768	3510	0.984	0.3783	0.5465	167	giab5	vg	HG002	highconf	call	0.5
INS	24	1739	3534	1738	0.9864	0.3297	0.4942	167	giab5	vg	HG002	highconf	call	0.5
DEL	33	1771	2234	1772	0.9817	0.4423	0.6098	167	giab5	vg	HG002	highconf	call	0.5
Total	46	3397	5882	3396	0.9866	0.366	0.5339	180	giab5	vg	HG002	highconf	call	0.5
INS	19	1663	3610	1662	0.9887	0.3153	0.4781	180	giab5	vg	HG002	highconf	call	0.5
DEL	27	1734	2272	1734	0.9847	0.4329	0.6014	180	giab5	vg	HG002	highconf	call	0.5
Total	26	2531	6747	2531	0.9898	0.2728	0.4277	250	giab5	vg	HG002	highconf	call	0.5
INS	8	1181	4091	1181	0.9933	0.224	0.3656	250	giab5	vg	HG002	highconf	call	0.5
DEL	18	1350	2656	1350	0.9868	0.337	0.5024	250	giab5	vg	HG002	highconf	call	0.5
Total	0	0	9278	0	NA	0	NA	350	giab5	vg	HG002	highconf	call	0.5
INS	0	0	5272	0	NA	0	NA	350	giab5	vg	HG002	highconf	call	0.5
DEL	0	0	4006	0	NA	0	NA	350	giab5	vg	HG002	highconf	call	0.5
Total	0	0	9278	0	NA	0	NA	450	giab5	vg	HG002	highconf	call	0.5
INS	0	0	5272	0	NA	0	NA	450	giab5	vg	HG002	highconf	call	0.5
DEL	0	0	4006	0	NA	0	NA	450	giab5	vg	HG002	highconf	call	0.5
Total	0	0	9278	0	NA	0	NA	550	giab5	vg	HG002	highconf	call	0.5
INS	0	0	5272	0	NA	0	NA	550	giab5	vg	HG002	highconf	call	0.5
DEL	0	0	4006	0	NA	0	NA	550	giab5	vg	HG002	highconf	call	0.5
Total	0	0	9278	0	NA	0	NA	650	giab5	vg	HG002	highconf	call	0.5
INS	0	0	5272	0	NA	0	NA	650	giab5	vg	HG002	highconf	call	0.5
DEL	0	0	4006	0	NA	0	NA	650	giab5	vg	HG002	highconf	call	0.5
Total	1612	7458	1825	7453	0.8223	0.8033	0.8127	0	giab5	vg	HG002	highconf	geno	0.5
INS	1149	4027	1248	4023	0.778	0.7632	0.7705	0	giab5	vg	HG002	highconf	geno	0.5
DEL	463	3431	577	3430	0.8811	0.856	0.8684	0	giab5	vg	HG002	highconf	geno	0.5
Total	1556	7382	1900	7378	0.8259	0.7952	0.8103	2	giab5	vg	HG002	highconf	geno	0.5
INS	1118	3997	1277	3994	0.7814	0.7577	0.7694	2	giab5	vg	HG002	highconf	geno	0.5
DEL	438	3385	623	3384	0.8854	0.8445	0.8645	2	giab5	vg	HG002	highconf	geno	0.5
Total	1522	7343	1938	7340	0.8283	0.7911	0.8093	3	giab5	vg	HG002	highconf	geno	0.5
INS	1097	3965	1308	3963	0.7833	0.7518	0.7672	3	giab5	vg	HG002	highconf	geno	0.5
DEL	425	3378	630	3377	0.8882	0.8428	0.8649	3	giab5	vg	HG002	highconf	geno	0.5
Total	1496	7303	1978	7300	0.83	0.7868	0.8078	4	giab5	vg	HG002	highconf	geno	0.5
INS	1077	3929	1344	3927	0.7849	0.745	0.7644	4	giab5	vg	HG002	highconf	geno	0.5
DEL	419	3374	634	3373	0.8895	0.8418	0.865	4	giab5	vg	HG002	highconf	geno	0.5
Total	1484	7279	2002	7276	0.8307	0.7842	0.8068	5	giab5	vg	HG002	highconf	geno	0.5
INS	1068	3910	1363	3908	0.7855	0.7414	0.7628	5	giab5	vg	HG002	highconf	geno	0.5
DEL	416	3369	639	3368	0.8901	0.8405	0.8646	5	giab5	vg	HG002	highconf	geno	0.5
Total	1458	7249	2032	7246	0.8325	0.781	0.8059	7	giab5	vg	HG002	highconf	geno	0.5
INS	1053	3890	1383	3888	0.787	0.7376	0.7615	7	giab5	vg	HG002	highconf	geno	0.5
DEL	405	3359	649	3358	0.8924	0.838	0.8643	7	giab5	vg	HG002	highconf	geno	0.5
Total	1343	7172	2109	7169	0.8423	0.7727	0.806	10	giab5	vg	HG002	highconf	geno	0.5
INS	982	3839	1434	3837	0.7963	0.7279	0.7606	10	giab5	vg	HG002	highconf	geno	0.5
DEL	361	3333	675	3332	0.9023	0.8315	0.8655	10	giab5	vg	HG002	highconf	geno	0.5
Total	1311	7140	2141	7137	0.8449	0.7692	0.8053	12	giab5	vg	HG002	highconf	geno	0.5
INS	959	3818	1455	3816	0.7992	0.724	0.7597	12	giab5	vg	HG002	highconf	geno	0.5
DEL	352	3322	686	3321	0.9042	0.8288	0.8649	12	giab5	vg	HG002	highconf	geno	0.5
Total	1267	7060	2221	7057	0.8478	0.7606	0.8018	14	giab5	vg	HG002	highconf	geno	0.5
INS	930	3758	1515	3756	0.8016	0.7126	0.7545	14	giab5	vg	HG002	highconf	geno	0.5
DEL	337	3302	706	3301	0.9074	0.8238	0.8636	14	giab5	vg	HG002	highconf	geno	0.5
Total	1130	6895	2386	6892	0.8592	0.7428	0.7968	21	giab5	vg	HG002	highconf	geno	0.5
INS	826	3650	1623	3648	0.8155	0.6921	0.7487	21	giab5	vg	HG002	highconf	geno	0.5
DEL	304	3245	763	3244	0.9143	0.8096	0.8588	21	giab5	vg	HG002	highconf	geno	0.5
Total	1045	6749	2531	6747	0.8659	0.7272	0.7905	27	giab5	vg	HG002	highconf	geno	0.5
INS	759	3556	1717	3554	0.8241	0.6743	0.7417	27	giab5	vg	HG002	highconf	geno	0.5
DEL	286	3193	814	3193	0.9178	0.7969	0.8531	27	giab5	vg	HG002	highconf	geno	0.5
