type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	642	2663	25260	3228	0.8057	0.1133	0.1987	133	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	362	1388	15645	1707	0.7931	0.0984	0.1751	133	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	280	1275	9615	1521	0.8199	0.1366	0.2342	133	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	424	1775	26258	2230	0.8072	0.0783	0.1428	167	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	239	898	16197	1155	0.7898	0.0666	0.1228	167	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	185	877	10061	1075	0.8258	0.0965	0.1728	167	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	373	1565	26478	2010	0.8075	0.0706	0.1298	180	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	214	785	16316	1036	0.7858	0.0597	0.111	180	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	159	780	10162	974	0.8307	0.0875	0.1583	180	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	180	578	27677	811	0.7625	0.0285	0.0549	250	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	113	319	16921	431	0.7384	0.0248	0.048	250	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	67	259	10756	380	0.7945	0.0341	0.0654	250	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	350	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	350	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	350	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	450	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	450	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	450	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	550	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	550	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	550	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	650	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	650	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	650	hgsvc	hgsvc_graph_map	HG00514	all	call	0.5
Total	12471	13462	10053	13462	0.5191	0.5725	0.5445	0	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	7616	7572	6395	7572	0.4986	0.5421	0.5194	0	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	4855	5890	3658	5890	0.5482	0.6169	0.5805	0	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	10636	12528	10987	12528	0.5408	0.5328	0.5368	2	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	7024	7184	6783	7184	0.5056	0.5144	0.51	2	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	3612	5344	4204	5344	0.5967	0.5597	0.5776	2	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	10206	12249	11266	12249	0.5455	0.5209	0.5329	3	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	6728	6973	6994	6973	0.5089	0.4992	0.504	3	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	3478	5276	4272	5276	0.6027	0.5526	0.5766	3	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	9411	11654	11861	11654	0.5532	0.4956	0.5228	4	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	6090	6480	7487	6480	0.5155	0.464	0.4884	4	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	3321	5174	4374	5174	0.6091	0.5419	0.5735	4	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	9128	11478	12037	11478	0.557	0.4881	0.5203	5	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	5884	6338	7629	6338	0.5186	0.4538	0.484	5	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	3244	5140	4408	5140	0.6131	0.5383	0.5733	5	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	8648	11153	12362	11153	0.5633	0.4743	0.515	7	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	5527	6090	7877	6090	0.5242	0.436	0.476	7	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	3121	5063	4485	5063	0.6186	0.5303	0.5711	7	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	7725	10475	13040	10475	0.5755	0.4455	0.5022	10	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	4958	5613	8354	5613	0.531	0.4019	0.4575	10	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	2767	4862	4686	4862	0.6373	0.5092	0.5661	10	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	7481	10300	13215	10300	0.5793	0.438	0.4988	12	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	4795	5493	8474	5493	0.5339	0.3933	0.4529	12	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	2686	4807	4741	4807	0.6415	0.5035	0.5642	12	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	6961	9860	13655	9860	0.5862	0.4193	0.4889	14	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	4418	5190	8777	5190	0.5402	0.3716	0.4403	14	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	2543	4670	4878	4670	0.6474	0.4891	0.5572	14	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	5867	8921	14594	8921	0.6033	0.3794	0.4658	21	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	3676	4558	9409	4558	0.5536	0.3263	0.4106	21	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	2191	4363	5185	4363	0.6657	0.457	0.542	21	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	4769	7821	15694	7821	0.6212	0.3326	0.4332	27	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	2933	3832	10135	3832	0.5664	0.2744	0.3697	27	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	1836	3989	5559	3989	0.6848	0.4178	0.519	27	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	4283	7195	16320	7195	0.6269	0.306	0.4113	35	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	2611	3519	10448	3519	0.5741	0.252	0.3503	35	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	1672	3676	5872	3676	0.6874	0.385	0.4936	35	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	3635	6272	17243	6272	0.6331	0.2667	0.3753	45	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	2212	3038	10929	3038	0.5787	0.2175	0.3162	45	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	1423	3234	6314	3234	0.6944	0.3387	0.4553	45	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	3220	5711	17804	5711	0.6395	0.2429	0.3521	50	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	1946	2752	11215	2752	0.5858	0.197	0.2948	50	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	1274	2959	6589	2959	0.699	0.3099	0.4294	50	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	2708	4958	18557	4958	0.6468	0.2108	0.318	60	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	1607	2407	11560	2407	0.5997	0.1723	0.2677	60	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	1101	2551	6997	2551	0.6985	0.2672	0.3865	60	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	2060	3915	19600	3915	0.6552	0.1665	0.2655	75	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	1213	1904	12063	1904	0.6108	0.1363	0.2229	75	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	847	2011	7537	2011	0.7036	0.2106	0.3242	75	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	1696	3279	20236	3279	0.6591	0.1394	0.2301	90	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	981	1610	12357	1610	0.6214	0.1153	0.1945	90	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	715	1669	7879	1669	0.7001	0.1748	0.2798	90	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	1492	2956	20559	2956	0.6646	0.1257	0.2114	99	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	859	1441	12526	1441	0.6265	0.1032	0.1772	99	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	633	1515	8033	1515	0.7053	0.1587	0.2591	99	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	1304	2667	20848	2667	0.6716	0.1134	0.194	110	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	751	1298	12669	1298	0.6335	0.0929	0.162	110	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	553	1369	8179	1369	0.7123	0.1434	0.2387	110	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	942	2041	21474	2041	0.6842	0.0868	0.1541	133	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	543	974	12993	974	0.6421	0.0697	0.1257	133	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	399	1067	8481	1067	0.7278	0.1118	0.1938	133	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	599	1368	22147	1368	0.6955	0.0582	0.1074	167	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	343	628	13339	628	0.6468	0.045	0.0841	167	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	256	740	8808	740	0.743	0.0775	0.1404	167	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	517	1201	22314	1201	0.6991	0.0511	0.0952	180	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	296	547	13420	547	0.6489	0.0392	0.0739	180	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	221	654	8894	654	0.7474	0.0685	0.1255	180	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	217	428	23087	428	0.6636	0.0182	0.0354	250	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	128	225	13742	225	0.6374	0.0161	0.0314	250	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	89	203	9345	203	0.6952	0.0213	0.0413	250	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	0	0	23515	0	NA	0	NA	350	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	0	0	13967	0	NA	0	NA	350	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	0	0	9548	0	NA	0	NA	350	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	0	0	23515	0	NA	0	NA	450	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	0	0	13967	0	NA	0	NA	450	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	0	0	9548	0	NA	0	NA	450	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	0	0	23515	0	NA	0	NA	550	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	0	0	13967	0	NA	0	NA	550	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	0	0	9548	0	NA	0	NA	550	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	0	0	23515	0	NA	0	NA	650	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
INS	0	0	13967	0	NA	0	NA	650	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
DEL	0	0	9548	0	NA	0	NA	650	hgsvc	hgsvc_graph_map	HG00514	all	geno	0.5
Total	732	5754	1170	6455	0.8871	0.8466	0.8664	0	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	447	3319	845	3709	0.8813	0.8144	0.8465	0	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	285	2435	325	2746	0.8952	0.8942	0.8947	0	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	705	5562	1435	6190	0.8875	0.8118	0.848	2	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	439	3204	994	3560	0.8795	0.7817	0.8277	2	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	266	2358	441	2630	0.8986	0.8564	0.877	2	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	665	5461	1545	6080	0.8914	0.7974	0.8418	3	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	421	3115	1089	3465	0.8809	0.7609	0.8165	3	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	244	2346	456	2615	0.9058	0.8515	0.8778	3	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	645	5209	1897	5728	0.8898	0.7512	0.8146	4	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	404	2874	1429	3125	0.8768	0.6862	0.7699	4	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	241	2335	468	2603	0.9064	0.8476	0.876	4	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	634	5137	1995	5630	0.8901	0.7384	0.8072	5	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	397	2806	1521	3033	0.8761	0.666	0.7567	5	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	237	2331	474	2597	0.9077	0.8457	0.8756	5	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	621	4972	2229	5396	0.889	0.7077	0.7881	7	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	385	2644	1752	2802	0.8729	0.6153	0.7218	7	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	236	2328	477	2594	0.908	0.8447	0.8752	7	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	562	4662	2623	5002	0.8924	0.656	0.7562	10	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	356	2379	2095	2459	0.8698	0.54	0.6663	10	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	206	2283	528	2543	0.9172	0.8281	0.8704	10	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	550	4618	2673	4952	0.8936	0.6494	0.7522	12	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	350	2342	2137	2417	0.87	0.5307	0.6593	12	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	200	2276	536	2535	0.9192	0.8255	0.8698	12	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	517	4431	2857	4768	0.8955	0.6253	0.7364	14	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	329	2189	2285	2269	0.8693	0.4982	0.6334	14	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	188	2242	572	2499	0.9226	0.8137	0.8647	14	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	458	4128	3193	4432	0.9001	0.5812	0.7063	21	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	292	1940	2556	1998	0.8692	0.4387	0.5831	21	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	166	2188	637	2434	0.9295	0.7926	0.8556	21	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	420	3812	3555	4070	0.9008	0.5338	0.6704	27	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	267	1702	2825	1729	0.8644	0.3797	0.5276	27	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	153	2110	730	2341	0.9324	0.7623	0.8388	27	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	392	3540	3853	3772	0.9003	0.4947	0.6385	35	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	255	1578	2941	1613	0.8609	0.3542	0.5019	35	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	137	1962	912	2159	0.9347	0.703	0.8025	35	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	336	3110	4335	3290	0.9025	0.4315	0.5839	45	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	223	1362	3169	1385	0.8593	0.3041	0.4492	45	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	113	1748	1166	1905	0.9393	0.6203	0.7472	45	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	306	2856	4616	3009	0.9032	0.3946	0.5492	50	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	199	1228	3302	1252	0.8605	0.2749	0.4167	50	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	107	1628	1314	1757	0.9383	0.5721	0.7108	50	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	269	2440	5079	2546	0.9007	0.3339	0.4872	60	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	179	1052	3485	1069	0.8546	0.2347	0.3683	60	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	90	1388	1594	1477	0.9391	0.481	0.6362	60	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	215	1889	5680	1945	0.8978	0.2551	0.3973	75	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	142	816	3728	826	0.8518	0.1814	0.2991	75	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	73	1073	1952	1119	0.9363	0.3644	0.5246	75	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	187	1528	6073	1552	0.891	0.2035	0.3313	90	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	124	661	3885	669	0.842	0.1469	0.2502	90	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	63	867	2188	883	0.9323	0.2875	0.4395	90	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	170	1390	6218	1407	0.891	0.1845	0.3057	99	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	108	589	3959	595	0.8451	0.1307	0.2264	99	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	62	801	2259	812	0.9282	0.2644	0.4116	99	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	155	1256	6352	1273	0.8901	0.167	0.2812	110	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	100	531	4015	539	0.8415	0.1184	0.2076	110	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	55	725	2337	734	0.9295	0.239	0.3802	110	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	116	972	6638	987	0.8934	0.1294	0.2261	133	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	73	402	4144	410	0.8463	0.09	0.1627	133	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	43	570	2494	577	0.9299	0.1879	0.3126	133	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	76	658	6964	661	0.8965	0.0867	0.1581	167	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	43	252	4302	252	0.8542	0.0553	0.1039	167	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
DEL	33	406	2662	409	0.9248	0.1332	0.2329	167	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
Total	67	584	7039	586	0.8971	0.0769	0.1417	180	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
INS	38	216	4339	215	0.8504	0.0472	0.0894	180	hgsvc	hgsvc_graph_map	HG00514	highconf	call	0.5
