type	FP	TP	FN	TP.baseline	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	3712	14858	10337	18151	0.8001	0.6371	0.7094	10	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	2079	8850	6378	10974	0.8098	0.6324	0.7102	10	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	1633	6008	3959	7177	0.7863	0.6445	0.7084	10	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	3610	14575	10646	17842	0.8015	0.6263	0.7032	12	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	2024	8641	6604	10748	0.8102	0.6194	0.7021	12	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	1586	5934	4042	7094	0.7891	0.637	0.7049	12	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	3386	13887	11432	17056	0.804	0.5987	0.6863	14	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	1885	8158	7138	10214	0.8123	0.5886	0.6826	14	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	1501	5729	4294	6842	0.7924	0.6144	0.6921	14	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	2858	12117	13420	15068	0.8091	0.5289	0.6397	21	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	1588	6964	8449	8903	0.8143	0.5131	0.6295	21	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	1270	5153	4971	6165	0.8023	0.5536	0.6551	21	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	2274	10230	15632	12856	0.8181	0.4513	0.5817	27	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	1278	5754	9894	7458	0.8183	0.4298	0.5636	27	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	996	4476	5738	5398	0.818	0.4847	0.6087	27	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	2051	9290	16852	11636	0.8192	0.4085	0.5452	35	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	1166	5183	10641	6711	0.8163	0.3868	0.5249	35	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	885	4107	6211	4925	0.8227	0.4423	0.5753	35	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	1732	7818	18686	9802	0.8186	0.3441	0.4845	45	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	980	4293	11779	5573	0.8141	0.3212	0.4607	45	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	752	3525	6907	4229	0.8242	0.3798	0.52	45	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	1540	7015	19702	8786	0.82	0.3084	0.4482	50	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	874	3849	12367	4985	0.8149	0.2873	0.4248	50	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	666	3166	7335	3801	0.8262	0.3413	0.4831	50	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	1325	5916	21123	7365	0.817	0.2585	0.3927	60	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	748	3254	13172	4180	0.8131	0.2409	0.3717	60	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	577	2662	7951	3185	0.8219	0.286	0.4243	60	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	1037	4477	22900	5588	0.8119	0.1962	0.316	75	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	595	2494	14125	3227	0.8074	0.186	0.3023	75	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	442	1983	8775	2361	0.8177	0.212	0.3367	75	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	878	3723	23776	4712	0.8092	0.1654	0.2747	90	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	520	2073	14620	2732	0.7995	0.1574	0.263	90	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	358	1650	9156	1980	0.8217	0.1778	0.2923	90	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	770	3284	24352	4136	0.8101	0.1452	0.2463	99	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	457	1819	14975	2377	0.7992	0.137	0.2339	99	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	313	1465	9377	1759	0.824	0.158	0.2652	99	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	679	2907	24862	3626	0.8107	0.1273	0.22	110	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	412	1594	15283	2069	0.7946	0.1192	0.2073	110	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	267	1313	9579	1557	0.831	0.1398	0.2393	110	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	500	2221	25711	2777	0.8162	0.0975	0.1742	133	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	314	1184	15821	1531	0.7904	0.0882	0.1587	133	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	186	1037	9890	1246	0.8479	0.1119	0.1977	133	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	329	1472	26629	1859	0.8173	0.0653	0.1209	167	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	207	758	16363	989	0.7855	0.057	0.1063	167	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	122	714	10266	870	0.8541	0.0781	0.1431	167	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	287	1311	26821	1667	0.8204	0.0585	0.1092	180	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	180	670	16476	876	0.7882	0.0505	0.0949	180	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	107	641	10345	791	0.857	0.071	0.1311	180	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	133	503	27800	688	0.7909	0.0242	0.047	250	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	91	272	17009	343	0.7493	0.0198	0.0386	250	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	42	231	10791	345	0.8462	0.031	0.0598	250	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	450	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	450	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	450	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	550	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	550	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	550	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	0	0	28488	0	NA	0	NA	650	hgsvc	hsvlr_graph	HG00514	all	call	0.5
INS	0	0	17352	0	NA	0	NA	650	hgsvc	hsvlr_graph	HG00514	all	call	0.5
DEL	0	0	11136	0	NA	0	NA	650	hgsvc	hsvlr_graph	HG00514	all	call	0.5
Total	13177	13573	9942	13573	0.5074	0.5772	0.5401	0	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	8086	7759	6208	7759	0.4897	0.5555	0.5205	0	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	5091	5814	3734	5814	0.5331	0.6089	0.5685	0	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	9667	11742	11773	11742	0.5485	0.4993	0.5227	2	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	6169	6648	7319	6648	0.5187	0.476	0.4964	2	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	3498	5094	4454	5094	0.5929	0.5335	0.5616	2	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	9260	11523	11992	11523	0.5544	0.49	0.5202	3	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	5908	6489	7478	6489	0.5234	0.4646	0.4923	3	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	3352	5034	4514	5034	0.6003	0.5272	0.5614	3	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	8591	11214	12301	11214	0.5662	0.4769	0.5177	4	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	5415	6260	7707	6260	0.5362	0.4482	0.4883	4	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	3176	4954	4594	4954	0.6093	0.5189	0.5605	4	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	8352	11069	12446	11069	0.57	0.4707	0.5156	5	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	5266	6164	7803	6164	0.5393	0.4413	0.4854	5	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	3086	4905	4643	4905	0.6138	0.5137	0.5593	5	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	7981	10835	12680	10835	0.5758	0.4608	0.5119	7	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	5035	6020	7947	6020	0.5445	0.431	0.4811	7	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	2946	4815	4733	4815	0.6204	0.5043	0.5564	7	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	7250	10346	13169	10346	0.588	0.44	0.5033	10	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	4586	5712	8255	5712	0.5547	0.409	0.4708	10	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	2664	4634	4914	4634	0.635	0.4853	0.5501	10	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	6976	10180	13335	10180	0.5934	0.4329	0.5006	12	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	4406	5588	8379	5588	0.5591	0.4001	0.4664	12	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	2570	4592	4956	4592	0.6412	0.4809	0.5496	12	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	6492	9758	13757	9758	0.6005	0.415	0.4908	14	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	4084	5292	8675	5292	0.5644	0.3789	0.4534	14	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	2408	4466	5082	4466	0.6497	0.4677	0.5439	14	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	5399	8720	14795	8720	0.6176	0.3708	0.4634	21	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	3380	4616	9351	4616	0.5773	0.3305	0.4204	21	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	2019	4104	5444	4104	0.6703	0.4298	0.5238	21	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	4268	7658	15857	7658	0.6421	0.3257	0.4322	27	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	2710	3946	10021	3946	0.5928	0.2825	0.3826	27	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	1558	3712	5836	3712	0.7044	0.3888	0.501	27	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	3741	7019	16496	7019	0.6523	0.2985	0.4096	35	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	2384	3591	10376	3591	0.601	0.2571	0.3601	35	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	1357	3428	6120	3428	0.7164	0.359	0.4783	35	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	3038	5997	17518	5997	0.6638	0.255	0.3685	45	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	1917	3009	10958	3009	0.6108	0.2154	0.3185	45	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	1121	2988	6560	2988	0.7272	0.3129	0.4375	45	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	2670	5440	18075	5440	0.6708	0.2313	0.344	50	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	1689	2737	11230	2737	0.6184	0.196	0.2977	50	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	981	2703	6845	2703	0.7337	0.2831	0.4086	50	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	2214	4635	18880	4635	0.6767	0.1971	0.3053	60	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	1402	2346	11621	2346	0.6259	0.168	0.2649	60	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	812	2289	7259	2289	0.7381	0.2397	0.3619	60	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	1671	3538	19977	3538	0.6792	0.1505	0.2464	75	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	1062	1822	12145	1822	0.6318	0.1305	0.2163	75	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	609	1716	7832	1716	0.7381	0.1797	0.289	75	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	1375	2928	20587	2928	0.6805	0.1245	0.2105	90	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	884	1501	12466	1501	0.6294	0.1075	0.1836	90	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	491	1427	8121	1427	0.744	0.1495	0.249	90	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	1180	2609	20906	2609	0.6886	0.111	0.1912	99	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	756	1332	12635	1332	0.6379	0.0954	0.166	99	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	424	1277	8271	1277	0.7507	0.1337	0.227	99	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	1010	2332	21183	2332	0.6978	0.0992	0.1737	110	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	653	1176	12791	1176	0.643	0.0842	0.1489	110	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	357	1156	8392	1156	0.764	0.1211	0.2091	110	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	730	1776	21739	1776	0.7087	0.0755	0.1365	133	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	484	857	13110	857	0.6391	0.0614	0.112	133	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	246	919	8629	919	0.7888	0.0963	0.1716	133	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	457	1188	22327	1188	0.7222	0.0505	0.0944	167	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	297	548	13419	548	0.6485	0.0392	0.0739	167	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	160	640	8908	640	0.8	0.067	0.1236	167	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	396	1058	22457	1058	0.7276	0.045	0.0848	180	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	256	483	13484	483	0.6536	0.0346	0.0657	180	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	140	575	8973	575	0.8042	0.0602	0.112	180	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	173	392	23123	392	0.6938	0.0167	0.0326	250	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	117	195	13772	195	0.625	0.014	0.0274	250	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	56	197	9351	197	0.7787	0.0206	0.0401	250	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	0	0	23515	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	0	0	13967	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	0	0	9548	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	0	0	23515	0	NA	0	NA	450	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	0	0	13967	0	NA	0	NA	450	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	0	0	9548	0	NA	0	NA	450	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	0	0	23515	0	NA	0	NA	550	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	0	0	13967	0	NA	0	NA	550	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	0	0	9548	0	NA	0	NA	550	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	0	0	23515	0	NA	0	NA	650	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
INS	0	0	13967	0	NA	0	NA	650	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
DEL	0	0	9548	0	NA	0	NA	650	hgsvc	hsvlr_graph	HG00514	all	geno	0.5
Total	656	5995	694	6931	0.9014	0.909	0.9052	0	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	463	3630	330	4224	0.8869	0.9275	0.9067	0	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	193	2365	364	2707	0.9246	0.8815	0.9025	0	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	600	5738	952	6673	0.9053	0.8751	0.8899	2	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	425	3428	525	4029	0.8897	0.8847	0.8872	2	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	175	2310	427	2644	0.9296	0.861	0.894	2	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	569	5665	1034	6591	0.9087	0.8644	0.886	3	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	410	3368	594	3960	0.8915	0.8696	0.8804	3	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	159	2297	440	2631	0.9353	0.8567	0.8943	3	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	540	5556	1151	6474	0.9114	0.849	0.8791	4	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	385	3263	707	3847	0.8945	0.8448	0.8689	4	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	155	2293	444	2627	0.9367	0.8554	0.8942	4	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	532	5516	1199	6426	0.912	0.8428	0.876	5	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	379	3227	751	3803	0.8949	0.8351	0.864	5	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	153	2289	448	2623	0.9373	0.8541	0.8938	5	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	509	5455	1270	6355	0.9147	0.8334	0.8722	7	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	362	3170	816	3738	0.8975	0.8208	0.8574	7	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	147	2285	454	2617	0.9396	0.8522	0.8938	7	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	467	5267	1514	6111	0.9186	0.8014	0.856	10	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	334	3011	1021	3533	0.9001	0.7758	0.8333	10	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	133	2256	493	2578	0.9443	0.8395	0.8888	10	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	454	5202	1603	6022	0.9197	0.7898	0.8498	12	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	326	2957	1096	3458	0.9007	0.7593	0.824	12	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	128	2245	507	2564	0.9461	0.8349	0.887	12	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	426	5027	1844	5781	0.9219	0.7582	0.8321	14	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	304	2808	1302	3252	0.9023	0.7141	0.7972	14	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	122	2219	542	2529	0.9479	0.8235	0.8813	14	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	355	4607	2381	5244	0.9285	0.6877	0.7902	21	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	251	2447	1769	2785	0.907	0.6116	0.7306	21	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	104	2160	612	2459	0.9541	0.8007	0.8707	21	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	317	4250	2820	4805	0.9306	0.6302	0.7515	27	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	225	2170	2120	2434	0.9061	0.5345	0.6724	27	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	92	2080	700	2371	0.9576	0.7721	0.8549	27	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	290	3917	3260	4365	0.9311	0.5725	0.709	35	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	204	1952	2411	2143	0.9054	0.4706	0.6193	35	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	86	1965	849	2222	0.9581	0.7235	0.8244	35	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	247	3351	3948	3677	0.9314	0.4822	0.6354	45	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	172	1621	2812	1742	0.9041	0.3825	0.5376	45	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	75	1730	1136	1935	0.9584	0.6301	0.7603	45	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	227	3058	4297	3328	0.9309	0.4365	0.5943	50	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	158	1472	2992	1562	0.9031	0.343	0.4972	50	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	69	1586	1305	1766	0.9583	0.5751	0.7188	50	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	200	2583	4861	2764	0.9281	0.3625	0.5214	60	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	138	1265	3231	1323	0.9016	0.2905	0.4394	60	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	62	1318	1630	1441	0.9551	0.4692	0.6293	60	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	167	1952	5594	2031	0.9212	0.2664	0.4133	75	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	110	989	3539	1015	0.8999	0.2229	0.3573	75	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	57	963	2055	1016	0.9441	0.3308	0.4899	75	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	141	1555	6028	1597	0.9169	0.2094	0.3409	90	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	94	768	3767	787	0.891	0.1728	0.2895	90	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	47	787	2261	810	0.9436	0.2638	0.4123	90	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	129	1405	6189	1436	0.9159	0.1883	0.3124	99	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	86	676	3863	691	0.8871	0.1517	0.2591	99	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	43	729	2326	745	0.9443	0.2426	0.386	99	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	113	1260	6344	1281	0.9177	0.168	0.284	110	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	78	590	3956	598	0.8832	0.1313	0.2286	110	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	35	670	2388	683	0.9504	0.2224	0.3605	110	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	88	965	6644	981	0.9164	0.1287	0.2257	133	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	59	414	4131	423	0.8753	0.0929	0.168	133	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	29	551	2513	558	0.95	0.1817	0.3051	133	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	62	644	6973	652	0.9122	0.0855	0.1563	167	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	39	240	4313	241	0.8602	0.0529	0.0997	167	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	23	404	2660	411	0.9461	0.1338	0.2344	167	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	51	577	7040	585	0.9188	0.0767	0.1416	180	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	32	207	4346	208	0.8661	0.0457	0.0868	180	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	19	370	2694	377	0.9512	0.1228	0.2175	180	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	17	210	7409	216	0.9251	0.0283	0.0549	250	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	12	78	4476	78	0.8667	0.0171	0.0335	250	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	5	132	2933	138	0.9635	0.0449	0.0858	250	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	0	0	7625	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	0	0	4554	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
DEL	0	0	3071	0	NA	0	NA	350	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
Total	0	0	7625	0	NA	0	NA	450	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
INS	0	0	4554	0	NA	0	NA	450	hgsvc	hsvlr_graph	HG00514	highconf	call	0.5
